date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:38	684667/684667	---M--	200	added ('OK')	image/gif	etag:%22633e99f1-a727b%22	https://www.bakecaincontrii.com/static/assets/img_Supertop_DE.0de74ea924457c8ae952.gif	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/img_Supertop_DE.0de74ea924457c8ae952.gif	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:38	15957/15957	---M--	200	added ('OK')	image/png	etag:%22633e99f1-3e55%22	https://www.bakecaincontrii.com/static/assets/404.95a0a653aee7f83bbed7.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/404.95a0a653aee7f83bbed7.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:39	684440/684440	---M--	200	added ('OK')	image/gif	etag:%22633e99f1-a7198%22	https://www.bakecaincontrii.com/static/assets/img_Supertop_NL.0943e27ae8403a7c5e2b.gif	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/img_Supertop_NL.0943e27ae8403a7c5e2b.gif	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:39	683847/683847	---M--	200	added ('OK')	image/gif	etag:%22633e99f1-a6f47%22	https://www.bakecaincontrii.com/static/assets/img_Supertop_FR.adf2fc7450216db4d095.gif	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/img_Supertop_FR.adf2fc7450216db4d095.gif	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:39	1383/1383	---M--	200	added ('OK')	image/png	etag:%22633e99f1-567%22	https://www.bakecaincontrii.com/static/assets/credits_easy.c010bdcfe6f894089fad.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/credits_easy.c010bdcfe6f894089fad.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:40	1968/1968	---M--	200	added ('OK')	image/png	etag:%22633e99f1-7b0%22	https://www.bakecaincontrii.com/static/assets/credits_world.de529cf85f2f31baa0d9.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/credits_world.de529cf85f2f31baa0d9.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:41	1813/1813	---M--	200	added ('OK')	image/png	etag:%22633e99f1-715%22	https://www.bakecaincontrii.com/static/assets/credits_fast.ed2e2a00aff28ab38e89.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/credits_fast.ed2e2a00aff28ab38e89.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:42	5849/5849	---M--	200	added ('OK')	image/png	etag:%22633e99f1-16d9%22	https://www.bakecaincontrii.com/static/assets/moip_cards.4d2fe9802191285001d2.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/moip_cards.4d2fe9802191285001d2.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:43	2670/2670	---M--	200	added ('OK')	image/png	etag:%22633e99f1-a6e%22	https://www.bakecaincontrii.com/static/assets/moip_prod.1fc2e39ab14a572deb0c.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/moip_prod.1fc2e39ab14a572deb0c.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:44	1898/1898	---M--	200	added ('OK')	image/png	etag:%22633e99f1-76a%22	https://www.bakecaincontrii.com/static/assets/boleto_prod.c8bf92e29e175c5d929a.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/boleto_prod.c8bf92e29e175c5d929a.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:45	815/815	---M--	200	added ('OK')	image/png	etag:%22633e99f1-32f%22	https://www.bakecaincontrii.com/static/assets/bank_transfer.590bd6f6e518268ec5fd.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/bank_transfer.590bd6f6e518268ec5fd.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:46	5169/5169	---M--	200	added ('OK')	image/png	etag:%22633e99f1-1431%22	https://www.bakecaincontrii.com/static/assets/paysite-cash_prod.ac9866dc84acb83acafb.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/paysite-cash_prod.ac9866dc84acb83acafb.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:47	3099/3099	---M--	200	added ('OK')	image/png	etag:%22633e99f1-c1b%22	https://www.bakecaincontrii.com/static/assets/paygol_prod.1d03a065c3e6f7016a4e.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/paygol_prod.1d03a065c3e6f7016a4e.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:48	3297/3297	---M--	200	added ('OK')	image/png	etag:%22633e99f1-ce1%22	https://www.bakecaincontrii.com/static/assets/dimoco_prod.0837ef936a47a51b0b2a.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/dimoco_prod.0837ef936a47a51b0b2a.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:49	4145/4145	---M--	200	added ('OK')	image/png	etag:%22633e99f1-1031%22	https://www.bakecaincontrii.com/static/assets/logo_paysafecard.4cc4871978f049d6408e.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/logo_paysafecard.4cc4871978f049d6408e.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:50	12896/12896	---M--	200	added ('OK')	image/png	etag:%22633e99f1-3260%22	https://www.bakecaincontrii.com/static/assets/logo_paysafecard_pago_efectivo.e4618842fcf7fd928f07.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/logo_paysafecard_pago_efectivo.e4618842fcf7fd928f07.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:51	6062/6062	---M--	200	added ('OK')	image/png	etag:%22633e99f1-17ae%22	https://www.bakecaincontrii.com/static/assets/skrill.c46b384c36807c6ae3a1.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/skrill.c46b384c36807c6ae3a1.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:52	2677/2677	---M--	200	added ('OK')	image/png	etag:%22633e99f1-a75%22	https://www.bakecaincontrii.com/static/assets/logo-payora.2b1ff5f531d725d467a9.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/logo-payora.2b1ff5f531d725d467a9.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:53	21882/21882	---M--	200	added ('OK')	image/png	etag:%22633e99f1-557a%22	https://www.bakecaincontrii.com/static/assets/logo_coingate.b914627ecda69f15035e.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/logo_coingate.b914627ecda69f15035e.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:54	13661/13661	---M--	200	added ('OK')	image/png	etag:%22633e99f1-355d%22	https://www.bakecaincontrii.com/static/assets/boleto.2d3fb93d66a031147b88.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/boleto.2d3fb93d66a031147b88.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:55	9956/9956	---M--	200	added ('OK')	image/png	etag:%22633e99f1-26e4%22	https://www.bakecaincontrii.com/static/assets/toditocash_logo.24fe6555f96d5389fa2b.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/toditocash_logo.24fe6555f96d5389fa2b.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:56	2187/2187	---M--	200	added ('OK')	image/png	etag:%22633e99f1-88b%22	https://www.bakecaincontrii.com/static/assets/crediti.e0aa4f881829cdc9358e.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/crediti.e0aa4f881829cdc9358e.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:57	4535/4535	---M--	200	added ('OK')	image/png	etag:%22633e99f1-11b7%22	https://www.bakecaincontrii.com/static/assets/step03.ac8b8240a28bf600c0fb.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/step03.ac8b8240a28bf600c0fb.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:58	3892/3892	---M--	200	added ('OK')	image/png	etag:%22633e99f1-f34%22	https://www.bakecaincontrii.com/static/assets/step02.ab3865711ca4da98b992.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/step02.ab3865711ca4da98b992.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:11:59	5938/5938	---M--	200	added ('OK')	image/png	etag:%22633e99f1-1732%22	https://www.bakecaincontrii.com/static/assets/step01.693b9377c1b913cb6ee0.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/step01.693b9377c1b913cb6ee0.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:12:00	4290/4290	---M--	200	added ('OK')	image/png	etag:%22633e99f1-10c2%22	https://www.bakecaincontrii.com/static/assets/mypaysafecard.eb9f020171ac93d48909.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/mypaysafecard.eb9f020171ac93d48909.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
23:12:01	7113/7113	---M--	200	added ('OK')	image/png	etag:%22633e99f1-1bc9%22	https://www.bakecaincontrii.com/static/assets/logo_bakecaincontrii.aa156677530546ada389.png	/Users/anelloyi/websites/bake/www.bakecaincontrii.com/static/assets/logo_bakecaincontrii.aa156677530546ada389.png	(from https://www.bakecaincontrii.com/static/css/app.5e960ca542841f4fbae5.css)
